Day,Capital Start,C_i-1,mi,p,M_i,G,C_i,Total Orders,Capital End
1,15000000.0,1020000.0,10500000.0,1.0,4500000.0,1.003763309525901,1023838.5757164191,4095354.3028656766,245721258.17194062
2,245721258.17194062,1023838.5757164191,172004880.72035843,1.0,73716377.45158218,1.0066422215136925,1030639.138330591,4122556.553322364,247353393.1993419
3,247353393.1993419,1030639.138330591,173147375.23953933,1.0,74206017.95980257,1.00665111960998,1037494.0425143546,4149976.1700574183,248998570.2034451
4,248998570.2034451,1037494.0425143546,174298999.14241156,1.0,74699571.06103353,1.0066600360804074,1044403.7902707079,4177615.1610828317,250656909.66496995
5,250656909.66496995,1044403.7902707079,175459836.76547897,1.0,75197072.89949098,1.0066689709581762,1051368.8888166323,4205475.555266529,252328533.3159918
6,252328533.3159918,1051368.8888166323,176629973.32119423,1.0,75698559.99479753,1.0066779242765826,1058389.8506429046,4233559.402571619,254013564.15429714
7,254013564.15429714,1058389.8506429046,177809494.90800798,1.0,76204069.24628913,1.0066868960690183,1065467.1935746574,4261868.77429863,255712126.45791784
8,255712126.45791784,1065467.1935746574,178998488.52054247,1.0,76713637.93737535,1.0066958863689695,1072601.440832698,4290405.763330792,257424345.79984754
9,257424345.79984754,1072601.440832698,180197042.05989328,1.0,77227303.73995426,1.0067048952100197,1079793.1210955975,4319172.48438239,259150349.06294343
10,259150349.06294343,1079793.1210955975,181405244.3440604,1.0,77745104.71888302,1.0067139226258481,1087042.7685625565,4348171.074250226,260890264.4550136
11,260890264.4550136,1087042.7685625565,182623185.1185095,1.0,78267079.33650407,1.006722968650232,1094350.9230170639,4377403.6920682555,262644221.5240954
12,262644221.5240954,1094350.9230170639,183850955.06686676,1.0,78793266.45722862,1.0067320333170453,1101718.1298913541,4406872.5195654165,264412351.173925
13,264412351.173925,1101718.1298913541,185088645.8217475,1.0,79323705.3521775,1.0067411166602611,1109144.9403316765,4436579.761326706,266194785.67960238
14,266194785.67960238,1109144.9403316765,186336349.97572166,1.0,79858435.70388071,1.006750218713951,1116631.9112643874,4466527.64505755,267991658.70345297
15,267991658.70345297,1116631.9112643874,187594161.09241706,1.0,80397497.61103588,1.006759339512286,1124179.6054628761,4496718.421851505,269803105.31109035
16,269803105.31109035,1124179.6054628761,188862173.71776325,1.0,80940931.5933271,1.006768479089537,1131788.5916153356,4527154.366461342,271629261.98768055
17,271629261.98768055,1131788.5916153356,190140483.39137638,1.0,81488778.59630416,1.0067776374800756,1139459.4443933896,4557837.7775735585,273470266.6544135
18,273470266.6544135,1139459.4443933896,191429186.65808946,1.0,82041079.99632405,1.006786814718374,1147192.744521589,4588770.978086356,275326258.6851814
19,275326258.6851814,1147192.744521589,192728381.07962695,1.0,82597877.60555442,1.0067960108390066,1154989.0788477876,4619956.31539115,277197378.923469
20,277197378.923469,1154989.0788477876,194038165.24642828,1.0,83159213.6770407,1.0068052258766493,1162849.04041441,4651396.16165764,279083769.6994585
21,279083769.6994585,1162849.04041441,195358638.78962094,1.0,83725130.90983754,1.0068144598660815,1170773.2285306253,4683092.914122501,280985574.84735006
22,280985574.84735006,1170773.2285306253,196689902.39314502,1.0,84295672.45420502,1.006823712842185,1178762.2488454364,4715048.9953817455,282902939.72290474
23,282902939.72290474,1178762.2488454364,198032057.8060333,1.0,84870881.91687141,1.0068329848399462,1186816.7134216982,4747266.853686793,284836011.22120756
24,284836011.22120756,1186816.7134216982,199385207.8548453,1.0,85450803.36636226,1.006842275894456,1194937.240811081,4779748.963244324,286784937.79465944
25,286784937.79465944,1194937.240811081,200749456.4562616,1.0,86035481.33839783,1.0068515860409093,1203124.4561299847,4812497.824519939,288749869.47119635
26,288749869.47119635,1203124.4561299847,202124908.62983742,1.0,86624960.8413589,1.006860915314608,1211378.9911364263,4845515.964545705,290730957.8727424
27,290730957.8727424,1211378.9911364263,203511670.5109197,1.0,87219287.36182272,1.0068702637509588,1219701.484307904,4878805.937231616,292728356.233897
28,292728356.233897,1219701.484307904,204909849.36372787,1.0,87818506.87016909,1.0068796313854764,1228092.5809202609,4912370.323681043,294742219.4208626
29,294742219.4208626,1228092.5809202609,206319553.5946038,1.0,88422665.82625878,1.0068890182537817,1236552.9331275544,4946211.732510217,296772703.95061314
30,296772703.95061314,1236552.9331275544,207740892.7654292,1.0,89031811.18518394,1.0068984243916044,1245083.2000429514,4980332.800171806,298819968.0103083
